# Program:featureCounts v2.0.1; Command:"featureCounts" "-T" "5" "-t" "gene,sRNA" "-g" "locus_tag" "-a" "startpeaks_cds.gff" "-o" "../rna_align/startpeaks_ctable.txt" "../rna_align/01_no_PNA.bam" "../rna_align/02_PNA15_5000pM.bam" "../rna_align/03_PNA15_500pM.bam" "../rna_align/04_PNA15_100pM.bam" "../rna_align/05_PNA15_10pM.bam" "../rna_align/06_PNA14_5000pM.bam" "../rna_align/07_no_PNA.bam" "../rna_align/08_PNA15_5000pM.bam" "../rna_align/09_PNA15_500pM.bam" "../rna_align/10_PNA15_100pM.bam" "../rna_align/11_PNA15_10pM.bam" "../rna_align/12_PNA14_5000pM.bam" "../rna_align/13_no_PNA.bam" "../rna_align/14_PNA15_5000pM.bam" "../rna_align/15_PNA15_500pM.bam" "../rna_align/16_PNA15_100pM.bam" "../rna_align/17_PNA15_10pM.bam" "../rna_align/18_PNA14_5000pM.bam" "../rna_align/73_RNA_input_control.bam" "../rna_align/79_no_PNA.bam" "../rna_align/85_no_PNA.bam" 
Geneid	Chr	Start	End	Strand	Length	../rna_align/01_no_PNA.bam	../rna_align/02_PNA15_5000pM.bam	../rna_align/03_PNA15_500pM.bam	../rna_align/04_PNA15_100pM.bam	../rna_align/05_PNA15_10pM.bam	../rna_align/06_PNA14_5000pM.bam	../rna_align/07_no_PNA.bam	../rna_align/08_PNA15_5000pM.bam	../rna_align/09_PNA15_500pM.bam	../rna_align/10_PNA15_100pM.bam	../rna_align/11_PNA15_10pM.bam	../rna_align/12_PNA14_5000pM.bam	../rna_align/13_no_PNA.bam	../rna_align/14_PNA15_5000pM.bam	../rna_align/15_PNA15_500pM.bam	../rna_align/16_PNA15_100pM.bam	../rna_align/17_PNA15_10pM.bam	../rna_align/18_PNA14_5000pM.bam	../rna_align/73_RNA_input_control.bam	../rna_align/79_no_PNA.bam	../rna_align/85_no_PNA.bam
b3090	b3090_ygjV_3241744_-1	37	80	-	44	15	33	16	30	27	47	24	27	32	24	21	27	42	28	37	35	39	42	152	18	15
b3091	b3091_uxaA_3243314_-1	37	80	-	44	316	418	474	363	433	353	406	291	322	295	275	449	348	412	391	466	386	420	262	260	285
b3092	b3092_uxaC_3244741_-1	37	80	-	44	407	673	431	660	497	615	687	302	624	300	394	441	593	556	735	471	661	499	383	483	422
b3093	b3093_exuT_3245224_1	37	80	+	44	775	874	1002	731	852	626	627	480	728	454	525	627	793	630	764	842	670	795	364	466	476
b3094	b3094_exuR_3246652_1	37	80	+	44	350	572	559	497	546	478	397	336	420	470	333	590	455	487	487	521	402	497	1244	353	329
b3095	b3095_yqjA_3247773_1	37	80	+	44	118	148	116	168	125	161	174	67	149	78	107	147	136	209	240	166	171	138	706	140	107
b3096	b3096_mzrA_3248439_1	37	80	+	44	617	918	723	986	745	1020	899	402	881	474	574	755	715	837	1186	725	1108	741	1648	835	830
b3097	b3097_yqjC_3248969_1	37	80	+	44	796	1152	757	1103	906	1004	1027	418	999	653	645	692	658	745	979	706	867	702	1951	708	596
b3098	b3098_yqjD_3249375_1	37	80	+	44	1123	1662	1573	1437	1665	1430	1314	1005	1419	1158	1021	1447	1367	1178	1280	1537	1317	1252	1075	974	837
b3099	b3099_yqjE_3249683_1	37	80	+	44	7	13	10	3	3	3	4	6	5	2	6	4	4	6	2	6	8	3	1226	8	0
b3100	b3100_yqjK_3250077_1	37	80	+	44	162	188	156	127	115	122	161	90	108	76	95	117	108	165	156	138	173	122	1404	104	129
b3101	b3101_yqjF_3250562_1	37	80	+	44	868	896	999	765	988	963	812	539	872	684	589	842	865	839	852	922	841	956	1491	590	567
b3102	b3102_yqjG_3251024_1	37	80	+	44	3437	3646	3998	3127	4115	3503	3326	2613	3642	2632	2671	3720	3836	3747	3798	4263	3477	4301	469	2568	2225
b3103	b3103_yhaH_3252304_1	37	80	+	44	4851	6247	4959	5743	5850	5101	5106	3408	6373	3889	3460	5484	4794	5775	6171	6030	5707	4319	1642	3725	2623
b3104	b3104_yhaI_3252911_1	37	80	+	44	510	956	603	876	789	876	729	426	848	549	510	790	653	767	883	668	700	709	1271	532	593
b3105	b3105_yhaJ_3254214_-1	37	80	-	44	214	336	378	274	363	299	253	238	308	326	201	355	264	264	234	315	235	284	224	200	173
b3106	b3106_yhaK_3254319_1	37	80	+	44	1640	1911	1477	1495	1441	1513	1744	825	1340	877	1113	1209	1449	1322	1700	1393	1698	1322	1914	843	835
b3107	b3107_yhaL_3255043_1	37	80	+	44	2034	2546	2665	2365	2633	2345	2161	1579	2291	1319	1645	2416	2070	2564	2561	2792	2466	2597	513	2124	1808
b4470	b4470_yhaM_3256651_-1	37	80	-	44	133	232	126	268	166	222	228	76	209	128	134	172	116	140	204	139	162	130	575	164	120
b3110	b3110_yhaO_3258010_-1	37	80	-	44	163	363	191	433	266	297	297	91	297	194	173	269	154	217	274	167	265	154	152	243	234
b4471	b4471_tdcG_3259649_-1	37	80	-	44	448	632	500	638	530	584	521	312	657	350	384	571	484	577	692	551	595	462	336	457	539
b3113	b3113_tdcF_3260110_-1	37	80	-	44	298	496	337	392	370	422	415	211	369	201	239	397	367	465	535	412	482	445	356	347	293
b3114	b3114_tdcE_3262418_-1	37	80	-	44	3815	7082	4079	6255	4677	6122	6465	2701	5989	1605	3366	4083	5134	5805	7780	4692	7101	4606	14562	4315	3766
b3115	b3115_tdcD_3263660_-1	37	80	-	44	1396	1753	1705	1749	1648	1650	1386	932	1382	821	1075	1622	1710	1656	1741	1575	1562	1553	1330	977	1107
b3116	b3116_tdcC_3265017_-1	37	80	-	44	1855	2317	1839	2037	1882	1815	1865	957	1633	953	1164	1505	1483	1962	2294	2040	2329	1795	1899	1543	1716
b3117	b3117_tdcB_3266028_-1	37	80	-	44	1631	2245	1865	2004	1899	1710	1866	1176	2274	1104	1166	1578	1821	2096	2642	2062	2212	1421	2209	1422	808
b3118	b3118_tdcA_3267065_-1	37	80	-	44	36	52	27	52	32	38	34	9	33	19	26	34	25	47	41	28	33	29	2184	27	23
b3119	b3119_tdcR_3267380_1	37	80	+	44	35	111	27	108	54	87	95	26	86	20	33	52	29	58	72	32	67	43	3787	75	66
b3120	b3120_yhaB_3267854_1	37	80	+	44	49	109	82	81	93	82	76	48	62	45	47	100	84	133	122	126	132	106	221	86	58
b3121	b3121_yhaC_3268415_1	37	80	+	44	69	96	48	81	64	66	103	26	73	31	59	48	50	58	80	63	79	67	263	37	52
b3124	b3124_garK_3271770_-1	37	80	-	44	108	177	116	185	156	136	192	90	176	78	102	128	131	178	171	126	175	119	609	155	119
b3125	b3125_garR_3272751_-1	37	80	-	44	1395	1684	1903	1419	2019	1563	1537	1200	1693	1627	1221	1658	1474	1419	1434	1741	1412	1427	1559	973	905
b3126	b3126_garL_3273557_-1	37	80	-	44	1798	3287	2200	3449	2794	3610	3042	1443	3293	2231	2067	3219	2699	3150	4100	2548	3420	2630	1488	3349	2630
b3127	b3127_garP_3274907_-1	37	80	-	44	466	641	479	618	554	628	672	252	601	323	368	457	375	426	562	428	514	353	609	432	349
b3128	b3128_garD_3275282_1	37	80	+	44	37	46	20	55	55	54	49	23	56	24	33	28	49	53	41	34	43	21	774	36	31
b3129	b3129_prlF_3277002_1	37	80	+	44	211	323	260	287	266	284	278	165	278	176	190	240	288	282	299	275	299	242	605	209	155
b3130	b3130_yhaV_3277337_1	37	80	+	44	573	615	769	514	684	590	606	451	709	483	473	576	523	543	570	582	574	525	689	448	390
b3131	b3131_agaR_3278665_-1	37	80	-	44	144	268	206	316	201	228	289	145	245	146	164	223	138	218	268	213	226	204	1742	209	167
b3132	b3132_kbaZ_3278914_1	37	80	+	44	2804	3592	3971	3062	4060	3395	2593	2158	3028	2689	2290	3630	2982	2622	2595	3130	2570	2979	373	1983	2085
b3133	b3133_agaV_3280217_1	37	80	+	44	671	925	591	975	826	955	878	356	850	686	596	787	629	749	923	581	900	562	507	666	582
b3134	b3134_agaW_3280701_1	37	80	+	44	1646	2938	2001	3007	2277	2872	2723	1384	2934	1389	1827	2539	2543	2915	3663	2356	3341	2659	1938	2236	1878
b3135	b3135_agaA_3281071_1	37	80	+	44	0	0	2	0	0	0	1	3	2	1	1	1	0	1	0	3	1	0	132	1	0
b3136	b3136_agaS_3281976_1	37	80	+	44	90	131	126	132	114	147	131	93	136	117	84	131	135	154	131	162	136	139	246	111	91
b3137	b3137_kbaY_3283143_1	37	80	+	44	27	31	27	34	48	45	37	7	28	24	27	48	38	50	35	30	35	31	462	27	26
b3138	b3138_agaB_3284170_1	37	80	+	44	149	234	124	224	142	214	262	81	179	125	83	162	125	179	263	149	216	130	1172	194	179
b3139	b3139_agaC_3284685_1	37	80	+	44	332	637	290	616	439	599	622	229	476	300	326	526	367	468	715	399	531	385	475	477	442
b3140	b3140_agaD_3285478_1	37	80	+	44	366	777	491	770	554	622	670	257	615	350	407	464	547	627	834	520	769	522	215	545	504
b3141	b3141_agaI_3286270_1	37	80	+	44	2	5	1	2	3	2	3	0	5	3	2	2	2	4	10	8	2	3	934	3	4
b3142	b3142_yraH_3287426_1	37	80	+	44	520	1073	486	1207	638	1008	1005	326	994	438	502	615	470	729	1171	541	960	518	4987	809	779
b3143	b3143_yraI_3288090_1	37	80	+	44	50	76	47	84	48	73	95	26	78	25	49	55	37	45	94	44	89	31	208	78	49
b3144	b3144_yraJ_3288814_1	37	80	+	44	107	149	129	123	116	147	124	71	138	153	101	139	119	135	139	122	118	102	713	107	90
b3145	b3145_yraK_3291341_1	37	80	+	44	57	47	38	35	38	40	59	16	39	52	45	62	53	51	54	39	53	41	546	30	23
b3146	b3146_rsmI_3293335_-1	37	80	-	44	355	413	389	361	405	376	361	263	453	356	282	398	349	380	435	412	432	368	620	265	186
b3147	b3147_lpoA_3293400_1	37	80	+	44	31	62	39	53	31	47	77	21	53	25	41	49	32	61	57	50	61	44	598	44	33
b3148	b3148_yraN_3295394_1	37	80	+	44	26	33	23	20	20	25	42	7	18	24	14	22	19	26	40	18	29	29	1233	27	12
b3149	b3149_diaA_3295809_1	37	80	+	44	746	1133	864	1146	1021	1104	931	638	1232	780	750	1259	800	832	944	923	947	884	1436	1040	877
b3150	b3150_yraP_3296409_1	37	80	+	44	845	1403	1014	1200	1086	1229	1238	647	1111	643	779	1140	971	1194	1392	1133	1335	1142	808	763	795
b3151	b3151_yraQ_3298138_-1	37	80	-	44	220	279	305	263	273	237	208	174	222	157	157	268	230	269	280	301	242	221	5903	197	183
b3152	b3152_yraR_3298846_-1	37	80	-	44	6601	7223	7755	5940	8081	6599	5593	4248	5468	4155	4151	7118	7326	7075	6509	8503	6800	7455	445	4147	4221
b3153	b3153_yhbO_3298974_1	37	80	+	44	1679	2355	2118	2003	2112	1909	1906	1227	2023	1405	1568	2176	2036	2200	2280	2279	2284	2036	652	1756	1372
b3154	b3154_yhbP_3299915_-1	37	80	-	44	695	1050	670	985	863	867	863	359	854	661	566	684	550	629	866	565	758	596	329	490	453
b3155	b3155_yhbQ_3299966_1	37	80	+	44	12	15	12	14	23	13	10	7	7	8	4	10	12	10	15	15	9	16	306	5	20
b3156	b3156_yhbS_3300758_-1	37	80	-	44	407	695	428	588	522	443	386	240	500	264	318	330	344	534	582	445	653	369	2023	344	347
b3157	b3157_yhbT_3301276_-1	37	80	-	44	1870	3043	2513	2623	2471	2564	2580	1641	2391	1304	1750	2268	2529	2794	3048	2706	2865	2661	321	1912	1930
b3158	b3158_yhbU_3301485_1	37	80	+	44	20	14	13	13	22	19	18	14	14	12	9	17	15	12	23	13	16	16	128	11	9
b3159	b3159_yhbV_3302489_1	37	80	+	44	514	741	767	730	802	779	737	616	804	616	546	865	818	870	870	858	849	987	372	589	466
b3160	b3160_yhbW_3303448_1	37	80	+	44	292	379	327	348	390	357	371	190	313	225	222	377	321	400	376	369	379	361	2449	272	228
b3161	b3161_mtr_3305817_-1	37	80	-	44	56	54	53	38	60	49	55	31	46	34	34	36	58	57	43	69	68	72	67	27	26
b3162	b3162_deaD_3307860_-1	37	80	-	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	660	0	0
b4685	b4685_yrbN_3307933_-1	37	80	-	44	26	33	25	34	27	36	34	12	35	22	23	33	24	28	28	34	26	31	944	20	13
b3163	b3163_nlpI_3308924_-1	37	80	-	44	716	980	802	962	949	998	806	639	981	653	620	875	684	829	914	854	771	823	667	810	676
b3164	b3164_pnp_3311168_-1	37	80	-	44	336	601	248	623	323	432	602	204	450	184	282	310	302	372	665	353	550	331	2145	349	274
b3165	b3165_rpsO_3311684_-1	37	80	-	44	930	1653	1183	1505	1619	1689	1599	846	1454	961	998	1457	1379	1777	1940	1737	1838	1647	346	1063	821
b3166	b3166_truB_3312777_-1	37	80	-	44	167	214	219	170	210	150	216	133	166	149	146	184	279	360	340	375	377	267	2360	166	109
b3167	b3167_rbfA_3313178_-1	37	80	-	44	3706	4258	5195	3718	4746	3551	3363	2962	4041	3205	3005	3654	3897	3565	3578	4384	3392	4122	913	2174	2061
b3168	b3168_infB_3316014_-1	37	80	-	44	2174	2865	3021	2411	2850	2738	3018	2402	2856	1956	2127	2453	3790	3377	3523	3551	3447	3530	1098	2249	1670
b3169	b3169_nusA_3317526_-1	37	80	-	44	717	1356	850	1275	859	1251	1463	624	1324	979	889	1040	1242	1138	1841	916	1620	1053	1793	1390	920
b3170	b3170_rimP_3318006_-1	37	80	-	44	663	1100	863	1052	887	952	925	501	905	718	645	984	693	793	920	906	954	666	988	670	694
b3172	b3172_argG_3318637_1	37	80	+	44	226	339	302	327	287	318	344	188	310	146	203	274	223	318	326	303	284	253	204	254	257
b3173	b3173_yhbX_3321613_-1	37	80	-	44	97	114	95	121	110	94	125	64	104	62	81	105	88	126	134	115	135	93	4267	78	62
b3175	b3175_secG_3322505_-1	37	80	-	44	64	88	53	85	57	72	83	44	89	60	52	74	62	64	83	60	74	60	569	62	42
b3176	b3176_glmM_3324070_-1	37	80	-	44	328	615	382	668	464	621	512	291	517	247	329	520	547	701	795	502	633	535	189	501	453
b3177	b3177_folP_3324911_-1	37	80	-	44	328	454	402	355	365	357	396	212	427	243	273	278	281	319	394	279	333	260	324	245	225
b3178	b3178_ftsH_3326935_-1	37	80	-	44	318	453	465	488	481	455	422	324	422	429	339	500	351	346	369	439	356	323	628	296	245
b3179	b3179_rlmE_3327664_-1	37	80	-	44	1421	2056	1870	1797	1775	1796	1614	1077	1779	1189	1187	1850	1605	1881	1988	1806	2036	1696	2224	1383	1340
b3180	b3180_yhbY_3327790_1	37	80	+	44	493	731	493	822	661	744	893	336	763	682	594	703	451	547	744	523	808	466	302	567	421
b3181	b3181_greA_3328715_-1	37	80	-	44	709	936	728	983	893	1003	965	509	910	498	544	837	809	898	1054	891	1002	881	1386	666	567
b3182	b3182_dacB_3328963_1	37	80	+	44	10	3	4	4	4	12	11	2	2	4	5	5	1	11	7	5	8	3	29	6	2
b3183	b3183_obgE_3331754_-1	37	80	-	44	6653	7412	8203	6319	8340	6778	5252	3948	5814	5257	4248	6789	5985	6134	5893	7080	5670	5762	156	3303	3571
b3184	b3184_yhbE_3332735_-1	37	80	-	44	352	474	554	417	447	415	439	336	467	260	301	449	477	551	518	484	454	423	582	399	402
b3185	b3185_rpmA_3333119_-1	37	80	-	44	6158	7704	9987	7005	8945	7839	7404	6841	8009	6399	5708	7450	8929	6332	7603	9210	6913	9635	662	5449	4409
b3186	b3186_rplU_3333451_-1	37	80	-	44	341	553	432	524	520	420	507	331	453	358	368	500	422	522	567	471	575	496	2633	420	344
b3187	b3187_ispB_3333710_1	37	80	+	44	236	393	294	412	267	422	348	215	376	238	236	381	209	291	362	235	304	255	1092	358	261
b3188	b3188_sfsB_3334909_1	37	80	+	44	13375	11758	15731	10301	13386	9784	10115	8475	12274	10488	8889	12670	13691	11079	11354	14572	10586	12859	1943	6967	6583
b3189	b3189_murA_3336494_-1	37	80	-	44	6482	11584	8497	10394	8530	9957	9290	5079	10268	6751	6768	8193	7957	9001	10047	7536	9789	8042	3617	5679	5499
b3190	b3190_ibaG_3336803_-1	37	80	-	44	308	483	367	442	411	376	451	226	344	259	337	444	317	438	437	388	481	424	636	308	295
b3191	b3191_mlaB_3337256_-1	37	80	-	44	1036	1280	1335	1084	1237	960	1089	804	1184	728	914	1139	685	1229	1215	1228	1184	1210	3773	863	797
b3192	b3192_mlaC_3337891_-1	37	80	-	44	2445	3484	2637	3336	2935	3567	3000	1763	3442	1797	1897	2831	2561	3166	3540	3053	3220	2627	1643	2473	2243
b3193	b3193_mlaD_3338461_-1	37	80	-	44	236	471	307	466	339	443	414	196	337	220	250	406	303	455	540	346	488	353	2512	450	370
b3194	b3194_mlaE_3339248_-1	37	80	-	44	311	497	421	484	470	472	460	282	407	249	277	432	414	588	587	494	558	504	733	411	363
b3195	b3195_mlaF_3340065_-1	37	80	-	44	2320	2351	3041	2049	2799	2122	2314	1871	2432	1790	1885	2742	2846	2862	2680	3156	2449	2735	1187	1926	1744
b3196	b3196_yrbG_3340275_1	37	80	+	44	70	90	70	71	69	68	74	53	62	50	63	66	57	39	77	89	72	62	427	43	50
b3197	b3197_kdsD_3341266_1	37	80	+	44	215	248	243	256	230	223	236	120	229	169	178	207	219	222	239	228	270	188	700	154	143
b3198	b3198_kdsC_3342273_1	37	80	+	44	2163	3097	2763	2986	2869	2976	2793	1807	3225	1949	1981	2875	2891	3044	3475	3090	3329	3054	439	1939	1681
b3199	b3199_lptC_3342836_1	37	80	+	44	804	994	993	805	1016	847	688	543	763	466	532	655	845	855	862	992	808	834	889	500	513
b3200	b3200_lptA_3343380_1	37	80	+	44	31	39	25	46	31	34	56	20	30	8	23	36	35	52	57	37	56	45	387	24	23
b3201	b3201_lptB_3343944_1	37	80	+	44	83	130	86	97	85	96	104	32	122	52	61	51	56	79	87	44	73	68	603	52	36
b3202	b3202_rpoN_3344717_1	37	80	+	44	2631	2805	2782	2307	2835	2368	2573	1642	2769	1930	1749	2223	2488	2607	2911	2658	2576	2450	1940	1808	1492
b3203	b3203_hpf_3346173_1	37	80	+	44	462	694	683	719	687	662	748	485	784	614	474	663	628	709	768	678	767	579	878	541	406
b3204	b3204_ptsN_3346578_1	37	80	+	44	180	296	199	279	240	235	311	150	257	115	142	228	197	250	331	215	322	184	682	187	173
b3205	b3205_yhbJ_3347115_1	37	80	+	44	882	1050	1077	999	965	1084	901	717	926	758	715	739	842	919	823	894	865	966	3759	800	781
b3206	b3206_npr_3347966_1	37	80	+	44	154	269	141	231	164	218	239	96	227	104	156	172	169	249	282	160	274	175	1276	222	158
b3207	b3207_yrbL_3348452_1	37	80	+	44	99	148	80	139	83	114	142	56	117	57	66	77	98	115	161	93	115	88	866	91	95
b3208	b3208_mtgA_3349809_-1	37	80	-	44	5	6	9	6	10	5	10	4	8	1	1	7	8	8	8	9	12	12	1565	4	3
b3209	b3209_elbB_3350459_-1	37	80	-	44	3231	4989	3986	4365	3978	4557	4390	2476	4823	2746	2960	3691	4137	4142	4991	3951	4510	3793	274	3282	2916
b3210	b3210_arcB_3353025_-1	37	80	-	44	87	139	135	160	129	160	199	101	160	103	92	139	149	165	238	143	180	165	170	143	110
b3211	b3211_yhcC_3354050_-1	37	80	-	44	19	31	18	29	32	20	35	17	23	11	20	26	18	17	18	19	25	20	852	18	15
b3212	b3212_gltB_3354725_1	37	80	+	44	135	207	198	178	155	182	193	139	157	108	116	175	315	349	293	334	332	281	297	157	129
b3213	b3213_gltD_3359198_1	37	80	+	44	517	603	702	561	620	571	513	414	583	371	448	682	723	789	853	909	741	825	439	721	534
b3214	b3214_gltF_3361176_1	37	80	+	44	617	1423	602	1278	740	1236	1075	340	1087	418	543	660	522	623	1080	564	966	568	2113	624	749
b3215	b3215_yhcA_3362112_1	37	80	+	44	300	732	325	798	400	787	721	246	706	305	347	445	380	502	926	439	716	450	1047	573	520
b3216	b3216_yhcD_3362807_1	37	80	+	44	1841	2420	2879	2093	2583	2273	1636	1712	2117	1488	1364	2193	2335	1834	2120	2758	1729	2208	960	1364	1264
b4569	b4569_yhcE_3365185_1;b4569_yhcE_3366751_1	37;37	80;80	+;+	88	770	975	876	912	1006	904	902	641	945	574	668	1074	1219	1270	1377	1305	1309	1171	547	774	647
b3218	b3218_insH1_3366718_-1	37	80	-	44	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b3219	b3219_yhcF_3366926_1	37	80	+	44	594	825	669	696	654	666	772	553	672	318	488	695	902	1048	1103	1004	896	835	1067	748	599
b3220	b3220_yhcG_3367827_1	37	80	+	44	444	785	651	764	662	663	722	376	713	458	473	597	564	683	835	621	720	620	758	511	365
b3221	b3221_yhcH_3369478_-1	37	80	-	44	239	344	253	310	266	219	305	155	255	216	234	256	183	231	286	226	250	235	81	240	248
b3222	b3222_nanK_3370350_-1	37	80	-	44	283	443	311	386	335	381	490	216	341	199	240	337	352	384	482	382	476	353	1416	382	287
b3223	b3223_nanE_3371036_-1	37	80	-	44	21	34	31	25	19	38	27	17	23	18	33	40	30	37	39	38	45	31	437	22	24
b3224	b3224_nanT_3372574_-1	37	80	-	44	22	23	16	13	18	13	20	7	16	5	10	16	19	13	19	13	24	7	1501	11	1
b3225	b3225_nanA_3373576_-1	37	80	-	44	268	372	251	349	320	319	331	163	341	175	202	289	280	394	433	369	390	301	244	251	231
b3226	b3226_nanR_3374489_-1	37	80	-	44	93	184	116	169	141	144	151	63	141	117	127	125	81	139	144	91	164	111	1002	136	137
b3227	b3227_dcuD_3374869_1	37	80	+	44	1925	2283	2734	1951	2301	2108	1765	1568	1794	1184	1322	2335	2442	2350	2266	2632	2134	2439	3854	1539	1541
b3228	b3228_sspB_3376776_-1	37	80	-	44	89	133	165	114	100	93	125	120	115	70	82	125	184	166	117	191	133	157	641	112	114
b3229	b3229_sspA_3377420_-1	37	80	-	44	436	691	605	646	642	516	642	425	607	396	349	556	435	617	660	719	663	445	1751	485	289
b3230	b3230_rpsI_3378207_-1	37	80	-	44	277	566	330	669	452	658	584	287	524	292	344	524	324	485	590	435	484	385	539	630	498
b3231	b3231_rplM_3378651_-1	37	80	-	44	289	692	307	780	414	592	727	213	640	298	323	364	296	353	576	329	528	299	1790	436	496
b3232	b3232_zapE_3379997_-1	37	80	-	44	406	504	413	433	513	450	459	278	530	337	345	579	454	569	519	561	539	534	1022	345	277
b3233	b3233_yhcB_3380191_1	37	80	+	44	1261	1745	1671	1690	1643	1674	1797	1164	1705	1234	1184	1638	1467	1651	1787	1668	1771	1515	1030	1475	1244
b3234	b3234_degQ_3380743_1	37	80	+	44	355	450	418	389	446	428	407	233	433	230	261	391	365	424	485	411	428	418	357	304	267
b3235	b3235_degS_3382200_1	37	80	+	44	35	67	58	64	36	55	67	30	61	51	37	87	42	57	73	49	74	43	424	51	46
b3236	b3236_mdh_3384268_-1	37	80	-	44	19206	22736	27609	19862	25972	21800	22526	19450	21499	17936	16882	21159	18469	14287	15530	19613	16324	19561	529	14955	14432
b3237	b3237_argR_3384703_1	37	80	+	44	60	87	71	87	80	67	82	43	75	54	55	87	64	94	92	68	81	73	1359	93	61
b3238	b3238_yhcN_3385538_1	37	80	+	44	1036	2076	1258	2274	1364	2087	1844	741	1925	994	1104	1423	1277	1606	2441	1315	1887	1368	1145	1445	1378
b3239	b3239_yhcO_3386129_-1	37	80	-	44	375	513	468	454	497	495	421	300	475	276	338	482	402	465	450	506	458	425	978	387	365
b3240	b3240_aaeB_3388188_-1	37	80	-	44	0	4	2	0	2	0	4	0	3	0	1	3	4	4	2	2	2	5	965	1	0
b3241	b3241_aaeA_3389126_-1	37	80	-	44	410	848	465	937	543	818	901	305	733	335	483	680	515	693	1006	576	839	577	632	756	781
b3242	b3242_aaeX_3389337_-1	37	80	-	44	59	86	62	92	78	79	84	37	76	52	47	65	63	69	91	42	87	60	1459	54	45
b3243	b3243_aaeR_3389520_1	37	80	+	44	302	692	479	644	525	712	605	290	660	398	384	571	391	547	591	469	556	470	993	497	523
b3244	b3244_tldD_3392028_-1	37	80	-	44	6923	8243	8910	7362	8438	7244	6785	5260	7794	5724	4972	7378	6646	7253	7252	8154	6962	5967	2739	5062	3798
b4472	b4472_yhdP_3396258_-1	37	80	-	44	396	403	485	306	412	302	402	302	414	309	250	418	406	413	416	499	432	441	277	276	267
b3247	b3247_rng_3397795_-1	37	80	-	44	782	1104	978	1175	1106	1124	1099	681	1082	707	735	1255	887	1045	1063	985	1047	928	1189	776	760
b3248	b3248_yhdE_3398378_-1	37	80	-	44	44	67	42	60	52	48	107	46	62	26	34	62	31	76	80	70	71	48	544	54	41
b3249	b3249_mreD_3398875_-1	37	80	-	44	132	80	97	73	96	61	84	54	74	53	78	84	100	107	85	121	126	109	4696	60	50
b3250	b3250_mreC_3399978_-1	37	80	-	44	69	129	78	126	99	98	123	36	71	34	58	71	70	103	127	62	113	66	1618	75	59
b3251	b3251_mreB_3401087_-1	37	80	-	44	166	270	135	247	139	151	327	151	199	134	180	206	150	198	274	223	234	186	274	165	143
b3252	b3252_csrD_3403332_-1	37	80	-	44	530	792	751	709	755	748	793	565	818	534	553	776	783	832	889	860	854	790	386	650	471
b3253	b3253_acuI_3403484_1	37	80	+	44	18	30	26	37	18	27	30	15	28	15	20	29	20	39	32	20	35	26	443	34	21
b4697	b4697_yrdF_3404495_1	37	80	+	44	1142	3002	1400	3167	1576	2626	2330	906	2602	1155	1354	1709	1227	1780	2719	1313	2348	1321	5039	1707	2014
b4646	b4646_yrdE_3404638_1;b4646_yrdE_3404732_1	37;37	80;80	+;+	88	12	22	18	25	14	16	27	11	22	11	13	26	18	32	39	31	40	26	4306	18	13
b3255	b3255_accB_3405436_1	37	80	+	44	459	675	533	631	635	576	657	310	571	409	442	624	421	680	752	598	688	524	559	532	385
b3256	b3256_accC_3405917_1	37	80	+	44	82	159	105	127	119	124	173	53	115	55	72	98	79	110	140	92	120	81	656	122	119
b3257	b3257_yhdT_3407375_1	37	80	+	44	98	174	111	181	128	153	158	49	125	58	88	111	117	147	182	108	145	140	189	126	109
b3258	b3258_panF_3407607_1	37	80	+	44	102	120	130	111	137	125	87	82	93	56	86	117	115	125	120	158	132	130	1820	98	80
b3259	b3259_prmA_3409070_1	37	80	+	44	108	112	113	116	88	100	119	81	121	69	89	109	100	125	116	122	119	74	325	89	68
b3260	b3260_dusB_3410280_1	37	80	+	44	15	23	18	25	16	23	31	13	23	14	18	19	22	26	31	21	21	19	661	19	18
b3261	b3261_fis_3411271_1	37	80	+	44	119	203	115	171	141	138	182	71	160	70	97	120	109	158	203	132	188	134	1746	148	106
b3262	b3262_yhdJ_3411653_1	37	80	+	44	441	618	574	532	578	481	503	389	533	492	440	646	504	528	584	627	556	537	357	469	372
b3263	b3263_yhdU_3412621_1	37	80	+	44	998	1051	1093	945	988	968	994	735	1160	988	780	1022	820	793	789	854	884	792	2836	748	644
b3264	b3264_acrS_3413465_-1	37	80	-	44	6	9	6	18	18	14	25	10	18	9	9	13	7	25	20	9	20	11	546	16	10
b3265	b3265_acrE_3413864_1	37	80	+	44	3271	3462	2968	2842	2948	3169	2636	1710	2891	1700	1872	2587	2384	2405	2815	2652	2635	2307	970	1996	2073
b3266	b3266_acrF_3415033_1	37	80	+	44	520	806	470	854	631	732	818	333	786	333	496	536	430	606	811	537	753	509	1766	576	465
b3267	b3267_yhdV_3418390_1	37	80	+	44	1491	2526	1350	2508	1832	2251	2381	828	2103	981	1281	1583	1282	1769	2703	1581	2133	1600	4511	1890	1378
b3268	b3268_yhdW_3419042_1;b3268_yhdW_3419107_1	37;37	80;80	+;+	88	1563	2493	1775	2400	2188	2257	2296	1076	2168	1807	1590	2118	1697	1707	2137	1635	2047	1517	2733	1466	1270
